Nama,Alamat,Telepon,Tags
Muhammadiyah Siti Aminah,"Jl. Diponegoro, Bumiayu",0289-432209/430683,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Muhammadiyah Siti Khodijah Kediri,"Jl. Dr. Soetomo 322 Sukorejo, Kec.Gurah, Kab. Kediri, Jawa Timur",0354-545481 / 546593,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Muhammadiyah Taman Puring,Jl. Gandaria I No.20 Kebayoran Baru,021-7229623/7250243/7208358,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Muhaya,"Jl. Jend Sudirman No. 18, Taman Bunga, Gerunggang, Pangkal Pinang Kep Bangka Belitung",0717-436997,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mujaisyah,"Jl. Dr.Ratulangi.Km.5 Balandai, Bara, Temmalebba Palopo Sulawesi Selatan",0471-3311727,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mulia Health dental care,"Gedung Menara Mulia, Suite LG,Jl. Jend Gatot Subroto Kav 9-11 Jakarta Selatan",021-5223838,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mulia Health Dental Care Bulog II,"Gd.Bulog II,Jl.Kuningan Timur Blok M2/5 Jakarta Selatan",021-5210284,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mulia Health Dental Care Kalibata City,"Kalibata City Square,Ground C-05,Jl.TMP Kalibata No.1 Jakarta Selatan",021-79160026,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mulia Insani,Jl. Raya Serang Km 16.8 Cikupa Tangerang,021-5962790/5962998/5962996,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mulia Medika,"Jl. Raya Kaliabang Tengah No.1A, Bekasi Utara, Bekasi, Jawa Barat",021-88987741,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mulia Pajajaran,Jl. Raya Pajajaran No. 98 Bogor,0251-8379898,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Multazam Medika,"Jl. Raya Perum Jatimulya, Pengkalan Koasi, K-19, Tambun",021-8215101/8215102,"AXA Mandiri Financial Services, Individu Solution"
Mulya,Jl. Kh.Hasyim Ashari No.18 Sudimara Pinang,021-7322443,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mulya Medika II,Jl. Perumahan Grama Puri Blok D1 No.5 Cibitung,021-88362481,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mulyasari,Jl. Raya Plumpang Semper No. 19 Jakarta Utara,021-43931111/43936666/43938888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Murni Asih,"JL.Raya Bojongnangka No 86, Medang, Pagedangan Tangerang",021-5470263/54200982/5463672,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Murni Teguh Ciledug (d/h. RS Aminah),Jl. Hos Cokroaminoto (Ciledug Raya) No.4A Kreo Selatan-Larangan,021-7371919/7371818,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Murni Teguh Clinic,"Pacific Place Mall Shop Unit B1-01B, Jl. Jendral Sudirman Kav.52-53 Jakarta Selatan",021-57973497/ 57853911,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Murni Teguh Memorial,Jl. Jawa No. 2 Simpang Jl. Veteran,061-80501888/777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
"Murni Teguh Sudirman Jakarta
(d/h Sahid Sahirman Memorial Hospital)","Jl. Jend.Sudirman, No.86",021- 57853911/5727210,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Murni Teguh Sudirman Jakarta (d/h Sahid Sahirman Memorial Hospital),"Jl. Jend.Sudirman, No.86",021- 57853911/5727210,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mustika Husada,"Ruko Mustika Grande Blok J No.01 Desa Burangkeng Kec.Setu, Bekasi Jawa Barat",021-29082098,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mustika Medika,"Jl. Kelapa Dua No.110 Rt 002 Rw 008, Padurenan, Mustika Jaya, Bekasi Jawa Barat",021-82622530,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mutia Sari,"JL. Bathin Betuah No.1A Simpang Padang, Duri, RIAU",0765-93635/92080,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mutiara Bunda,JL. SA Tirtayasa Ruko Maisonette Blok B 1-2 Simpang Tiga Cilegon Banten,0254-376888/399968,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mutiara Bunda Ciledug,"Jl. Dr. Cipto Mangunkusumo, No.3, Ciledug",021-7301365/73454951,"AXA Mandiri Financial Services, Corporate Solution"
Mutiara Bunda Cileduk,"Jl. Dr. Cipto Mangunkusumo, No.3, Ciledug",021-7301365/73454951,"AXA Mandiri Financial Services, Individu Solution"
Mutiara Bunda Martapura,"Jl. Taisir No. 2, Martapura, Kalimantan Selatan",O511-4721901,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mutiara Bunda Tulang Bawang,"Jl. Lintas Timur Unit II No.1147, Banjar Agung, Tulang Bawang",0726-750248,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mutiara Hati Mojokerto,"Jl.  Raya Kemantren Wetan 49, Terusan,Gedeg, Mojokerto, Jawa Timur",0321-366186 / 363442,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mutiara Putri,Jl. Hos Cokroaminoto No 76 Enggal Lampung,0721-252579/254999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Mutiara Sorong,Jl. Maleo No.2A Sorong Papua Barat,0951-327433/324593/332061,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
My Dentist Kota Wisata,"Ruko Sentra Eropa E/6, Kota Wisata Cibubur, Ciangsana, Gunung Putri, Bogor, Jawa Barat 16968",021-84932732,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
My N Your Dentist Kelapa Gading,"Jl. Raya Kelapa Nias, Mahaka Square, Lt. Dasar Blok Hf3 C29-33 Jakarta Utara",0818-06815254,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
My N Your Dentist Kuningan City,Jl. Prof. Dr. Satrio Kav 18 Karet Kuningan Jakarta Selatan,0878-33783338,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Nadya MH Thamrin,"JL. KH Abdullah Bin Nuh RT. 005/ RW. 01 Kel. Sindang Barnag, Kec. Bogor Barat",0251-8624629,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Nafila Medika,"Jl. Pringgodani Blok J-47 Perumnas Teluk Jambe, Karawang Barat",0267-8456419,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Nafira Nganjuk,"Jl. Diponegoro No.09 Kertosono Nganjuk, Jawa Timur",0358-552534,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Nahdlatul Ulama Jombang,Jl. KH. Hasyim Asy'ari No. 211 Jombang 61471,0321-878700,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Nahdlatul Ulama Tuban,Jl. Letda Sucipto No.211 Tuban Jawa Timur,0356-328244,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Natar Medika,"Jl. Raya Natar No. 04 Muara Putih, Kec Natar Lampung Selatan",0721-92521/92519,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
National Hospital,Jl. Boulevard Famili Selatan Kav.1 Surabaya,031-2975777,"AXA Mandiri Financial Services, Corporate Solution"
Naura Medika,Jl. Kemakmuran Raya No. 37 Depok II Tengah,021-77827515,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Naurah Medika Cikampek (Fikri Medika Group),"Jl. A. Yani No.2 Rt. 03/06 Desa Cikampek Selatan, Kec. Cikampek. Kab Kerawang 41373",0812-8381-7777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Netra Spesialis Mata,"Jl. Supratman No.17 Bandung, Jawa Barat",022-7201720,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ngesti Waluyo,Jl. Pahlawan-Parakan,0293-596008,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Nira Medika,"Jl. Brigjen Katamso Komplek Ruko Prana Jaya No.7-9 Kibing, Batu Aji Batam, Kep. Riau",0778-3850861,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Nirwana Medical Center,"Jl. Bhayangkara No.09 Rt.01/17 Citepus, Pelabuhan Ratu, Sukabumi Jawa Barat",0266-6446183,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Niza Asyifa Bersama,Perum. Telaga Harapan Blok E1/1 Cikarang Barat - Bekasi,021-89109638,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Noryuki,"Ruko Grand Galaxy City Blok Rsa 3 No.10 Jl. Boulevard Raya Barat, Jakasetia, Bekasi Selatan",021-82744259,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Nuraida,"Jl. Achmad Sobana No.105 Rt.06/Rw.07, Tegal Gundil, Bogor Jawa Barat",0251-8368866,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Nurul Annisa,"Jl. Raya Cikarang Cibarusah Sukaresmi, Cikarang Selatan Bekasi",021-8974554-55,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
OK Dental,"Grand Wijaya Center Blok C38, Jl. Wijaya II Pulo Kebayoran Baru Jakarta Selatan",021-7201779,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
OMDC Alam Sutera,"Ruko Sutra Niaga 1 No. 62, Jl. Raya Serpong Pakulonan Tangerang Selatan",021-5398685,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
OMDC Bekasi,"Ruko Grand Galaxy Rgk 612 & 616, Jl. Grand Galaxy City Boulevar Jakasetia, Bekasi Selatan",021-27531885,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
OMDC Benhil,Jl. Bendungan Hilir Raya Blok G1 No. 7 RT 011 RW 03 Kel. Bendungan Hilir Kec. Tanah Abang Jakarta Pusat,021-2524246,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
OMDC Bintaro,"Jl. Bintaro Utama 3 Blok Ap/65 Rt 010 Rw 08 Bintaro Sektor 3, Pd. Betung, Pd. Aren, Tangerang Banten",0815-17174971,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
OMDC Dental Clinic,Jl. Warung Buncit Raya No.6A Mampang Jakarta Selatan,021-79196767,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
OMDC Dental Clinic Bogor,"Jl. Raya Pajajaran No.6 Bantar Jati, Bogor Utara, Jawa Barat",0251-27531885,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
OMDC Joglo,"Jl. Joglo Raya No. 45 Joglo, Kembangan, Jakarta Barat",021-25685000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
OMDC Rawamangun,"Jl. Pemuda No.78A Kel. Jati, Kec. Pulogadung Jakarta Timur",021-27531885,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
OMDC Sunter,"Jl. Agung Utara Raya Blok A 36A No. 9 RT 014 RW 08 Kel. Sunter Agung, Kec. Tg. Priok, Jakarta Utara",021-22657730,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Omni Alam Sutera,Jl. Alam Sutera Boulevard Kav.25 Serpong - Tangerang,021- 29779999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Omni Cikarang,"Jl. Raya Cikarang Cibarusah Rt.09 / Rw.02 Kel.Sukaresmi, Kec.Cikarang Selatan, Bekasi",021-29779999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Omni Medical Center,"Jl. Pulo Mas Barat Vi, No.20",021-4723332/4722719,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Omni Pekayon,Jl. Pulo Ribung Kel.Pekayon Jaya Bekasi Selatan,021-29779999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Onkologi,Araya Galaxi Bumi Permai Blok A2/7 Jl. Arief Rahman Hakim 182,031-5914855,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Oratio Fide,"Jl. Dr. Cipto No. 05, Kel. Pasirkaliki, Kec. Cicendo, Kota Bandung",022-4231987,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Orthopaedi Purwokerto,Jl. Soepardjo Roestam No. 99 Purwokerto,0281-6844166,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Orthopedi dan Traumatology,"Jl.Emerald Mansion TX 10 Citraland, Surabaya",031-57431299 / 57431210,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Orthopedi Siaga Raya,"Jl. Siaga Raya Kav.4-8 Pejaten Barat, Pasar Minggu, Jakarta Selatan 12510",021-7972750,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Orthosmile Dental Care,Jl. Boulevard Artha Gading Ruko Gading Bukit Indah P. II Kelapa Gading Jakarta Utara,021-45874055,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Oto Medika,"Jl. Bunga Raya Ujung No.86 Baloi Indah, Lubuk Baja, Batam, Kepulauan Riau",0778-421640,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Padjadjaran Jatinangor,"Jl. Kolonel Ahmad Syam Rt 04 Rw 02 Desa Sayang Kec. Jatinangor, Sumedang Jawa Barat",022 -7781900,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Padjadjaran Sukanagara,Jl.  Raya Sukanegara Km.45 Sukanegara – Cianjur Jawa Barat,0263-340189,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Padjajaran Leles,Jl. Raya Leles Kec.Leles Kab Garut Jawa Barat,0262-2458083,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pahlawan Medika Center,Jl. Pahlawan No. 15 Kandangan Kab. Hulu Sungai Selatan,0517-23191,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pakuwon Sumedang,Jl. Rd.Dewi Sartika No.17 Sumedang 45311,0261-210834/201132,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Palang Biru Gombong,"Jl. Kartini, No.37",0287-473221/471290/471762,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Palang Biru Kutoarjo,"Jl. Maditomo 17, Kutoarjo-Purworejo",0275-641425,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Palapa Dentist (drg. Anggraeni),"Jl. Palapa 1 No. 2 & 4 Pasar Minggu, Jakarta Selatan",021-7806291,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pamulang Medical Center,"Jl. Raya Pamulang Blok D Ii/2, Pamulang",021-7405317,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Panacea,Komp Mal Fantasi Blok Ab2 No.18-20 Balikpapan Baru 76114,0542-877898/7204046/444712/5,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Panacea Batam,"Komplek Ruko Tiban Bukit Asri Blok A No.01-04, Tiban Baru, Sekupang, Batam",0778-8013000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pantai Indah Kapuk,"JL. Pantai Indah Utara 3, Pantai Indah Kapuk",021-5885066,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Panti Nirmala,"Jl. Kebalen Wetan, No.2-8",0341-362459,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Panti Rapih,Jl. Cik Di Tiro No 30 Yogyakarta,0274-563333/514845,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Panti Secanti,"Jl. Raya Gisting Kec. Gisting, Kab. Tanggamus Bandar Lampung",0729-347553,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Panti Waluya Sawahan,"Jl. Nusakambangan No.56 Malang, Jawa Timur","0341-362017,366033","AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Panti Waluyo Surakarta,Jl. Jend.A.Yani No.1 Surakarta Jawa Tengah,0271-712077,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Panti Wilasa Citarum,"Jl. Citarum, No. 98",024-3542224,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Panti Wilasa Dr. Cipto,"Jl. Dr. Cipto, No.50",024-3546040/3557428,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Parama Sidhi,Jl. A.Yani No.171A,0362-32701/22426,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Paramount Makassar,Jl. Andi Pangeran Pettarani No.82 Makassar Sulawesi Selatan,0411-4671666,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Patra Jasa (Group of Pertamina Jaya),Gd. Patra Lt. 1 Ruang 1E Jl. Gatot Subroto Kav. 32-34,021-5217318,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Patra Jasa (Group Of Rspertamina Jaya),Gd. Patra Lt. 1 Ruang 1E Jl. Gatot Subroto Kav. 32-34,021-5217318,"AXA Mandiri Financial Services, Individu Solution"
Peduli Sehat,"Jl. Raya Pilar Sukatani Kp. Sukamantri No 62 Rt 03/03 Ds Sukaraya Kec Karang Bahagia, Bekasi Jawa Barat",021-8903208,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pekanbaru Medical Center,"Jl. Lembaga Pemasyarakatan No.25,Gobah",0761-848100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelabuhan Cirebon,"Jl. Sisingamangaraja, No.45",0231-208948/208680/205657,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelabuhan Jakarta,"Jl. Kramat Jaya Tanjung Priok, Jakarta Utara",021-4403026,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelabuhan Palembang,Jl. Mayor Memet Sastrawirya No 1 Boom Baru Palembang,0711-711843/712840/712916/719741,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelita Anugerah,Jl. Raya Bandung Rejo Km 11.5 (Smg-Purwodadi) Demak Jawa Tengah,024-6725550,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelita Insani,Jl. Sekumpul No. 66 Martapura 70614,0511-4722210/4722220,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelita Sehat Bangbarung,"Jl.Achmad Sobana/Bangbarung No.77,Bantarjati,Bogor",0251-8362525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelita Sehat Central Ruko Cibinong,"Central Ruko Cibinong Blok B 1-2,Jl.Mayor Oking No. 63",021-87910241,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelita Sehat Ciomas,"Jl.Raya Taman Pagelaran Blok C1 No.5 Padasuka,Ciomas",0251-7522167,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelita Sehat Sp. Pomad,"Jl.Raya Cibuluh No.8-9 Simpang Pomad, Bogor",0251-8658811,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelita Sehat Taman Kenari,"Perum.Taman Kenari Blok E3 No.4 Tanah Baru, Bogor",0251-8664767,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pelni,"Jl. Aip Ii K.S. Tubun, No.92-94, Petamburan",021-5306901-9/5349475/5460608,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pendopo (Group of Pertamina Prabumulih),Jl. Cemara No.86 Komperta Pendopo,0713-384202/384212,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Pendopo (Pertamina Group),Jl. Cemara No.86 Komperta Pendopo,0713-384202/384212,"AXA Mandiri Financial Services, Individu Solution"
Penta Medica,"Jl. Teuku Umar Barat-Marlboro, No. 88",0361-490709,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Penta Medica Candidasa,Jl. Raya Manggis No.88 Kab. Karangasem Bali,0363-41909,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Peri Gigi Bintaro,Bintaro Xchange Mall Lg.108 Cbd Emerald Ce/A  No. 1 Boulevard Tangerang Selatan Banten,021-29864899,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Peri Gigi Yogyakarta,"Jl. Prof.Yohanes Ruko Sagan Square Kav.4- 5 Sagan, Terban, Gondokusuman, Yogyakarta",0274-551929,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Perkebunan (Ptpn) X Jember,"Jl. Bedadung, No.2 Jember 68188",0331-487104/426873/485912,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Perkebunan Nusantara VIII Subang,"Jl. Otista, No.1",0260-420406/411632/420306,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Permata Bekasi,"Jl. Legenda Raya, No. 9, Mustika Jaya",021-8251919/8254748,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Permata Bunda Bekasi,Perum Gramapuri Tamansari C1/8-10 Cibitung,021-88328001,"AXA Mandiri Financial Services, Individu Solution"
Permata Bunda Bekasi (Permata Bunda Group),Perum Gramapuri Tamansari C1/8-10 Cibitung,021-88328001,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Permata Bunda Ciamis,Jl. Mr.Iwa Kusumasomantri No.1 Ciamis Jawa Barat,0265-771650/776745,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
