nama_rumah_sakit,alamat,telp,text
Metro Hospitals M Toha,Jl. M. Toha Km 2 No. 1 Nambo Jaya – Karawaci Tangerang Banten,021-5962790,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. M. Toha Km 2 No. 1 Nambo Jaya – Karawaci Tangerang Banten"
Metro Hospitals Sidoarjo (dh. RSIA Mitra Husada),"Jl.Raya Seruni No.159 Gedangan, Sidoarjo Jawa Timur",031-8917479,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sidoarjo Jawa Timur"
Metro Medika Lombok,"Jl.Jendral Sudirman No.18A Rembiga Selaparang, Mataram – Ntb",0370-7847171,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Mataram – Ntb"
Metropolitan Medical Centre ( Mmc ),"Jl. Hr. Rasuna Said, Kav. C21, Kuningan",021-5203435,"AXA Mandiri Financial Services, Individu Solution | Kuningan"
Metropolitan Medical Centre (MMC),"Jl. Hr. Rasuna Said, Kav. C21, Kuningan",021-5203435,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kuningan"
Metta Medika,"Jl. Sutoyo Siswoharjo No.34 Pasar Baru, Kota Sibolga, Sumatera Utara",0631-25007/25008,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sumatera Utara"
Metta Medika Padangsidimpuan,Jl. Sisingamangaraja No.113 Padangsidimpuan,0634-4320777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Sisingamangaraja No.113 Padangsidimpuan"
MGM 24 Kramat Jati,"Jl. Inpres No.19 Kampung Tengah Kramat Jati, Jakarta Timur",021- 80886446,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Timur"
Mh Thamrin Pondok Gede,Jl. Raya Pondok Gede No 23-24 Kramat Jati,021-80887176/8093602,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Pondok Gede No 23-24 Kramat Jati"
Mh Thamrin Tegalan,Jl. Tegalan 30 Jakarta,021-8581344,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Tegalan 30 Jakarta"
MH. Thamrin Cileungsi,Jl. Raya Narogong KM.16 Limus Nunggal Cileungsi Bogor,021-8265052 / 82491332,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Narogong KM.16 Limus Nunggal Cileungsi Bogor"
Mhdc Menara Jamsostek,"Menara Utara Lt.1, Gd. Menara Jamsostek Jl. Jend.Gatot Subroto Kav.38 Kuningan Barat, Mampang Prapatan Jakarta Selatan",021-52961525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Mampang Prapatan Jakarta Selatan"
Mhdc Menara Sentraya,"Menara Sentraya Gf Unit B1, Jl. Iskandarsyah Raya No. 1A, Rt.3/Rw.1 Jakarta Selatan",021-27881766,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Rt.3/Rw.1 Jakarta Selatan"
Mhdc Wisma 46,"Wisma 46 Kota Bni Lt1.10, Jl. Jend Sudirman Kav 1 Rt/Rw: 10/09, Karet Tengsin, Tanah Abang Jakarta Pusat",021-5742211,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tanah Abang Jakarta Pusat"
Miracle Asia Afrika,Jl. Asia Afrika No.122-124 RT06/01 Kel.Paledang Kec.Lengkong Bandung,022-4200706,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Asia Afrika No.122-124 RT06/01 Kel.Paledang Kec.Lengkong Bandung"
Miracle Gd. Indofood,Sudirman Plaza-Indofood Tower Lt.8 Jl. Jend Sudirman Kav. 76-78 Jakarta Pusat,021-57954537 / 38,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sudirman Plaza-Indofood Tower Lt.8 Jl. Jend Sudirman Kav. 76-78 Jakarta Pusat"
Miracle Grand Indonesia,Menara BCA Lt.9 Jl. MH Thamrin Jakarta Pusat,021-23587188 / 23587199,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Menara BCA Lt.9 Jl. MH Thamrin Jakarta Pusat"
Miracle Matraman,"Gd. BCA Matraman Lt. Basement, Jl. Matraman Raya Jakarta Timur",021-8581259/8581316,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Matraman Raya Jakarta Timur"
Miracle Purwakarta,Komp. Aneka Jasa Blok A2 No.9-10 Kota Bukit Indah Purwakarta,0264-351366/351377,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Komp. Aneka Jasa Blok A2 No.9-10 Kota Bukit Indah Purwakarta"
Miracle Wisma Asia,"Gd. Wisma Asia Slipi Lt.7, Jl. Letjen S. Parman Kav.79 Slipi Jakarta Barat",021-5638888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Letjen S. Parman Kav.79 Slipi Jakarta Barat"
Misi Lebak,Jl. Multatuli No.41,0252-201014,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Multatuli No.41"
Mitra Bangsa,"Jl. Kol.Sugiyono, No.75",0295-382555,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.75"
Mitra Cakung,"Jl. Balai Rakyat No.38 Gempol, Cakung Jakarta Timur",021-29844221,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cakung Jakarta Timur"
Mitra Family,"Jl. Raya Galuh Mas Raya, Sukaharja, Telukjambe Timur, Karawang, Jawa Barat 41361 (d/h JL. Ronggowaluyo RT.02/05 Desa Sukaharja Kec. Teluk Jambe Timur, Karawang)",0267-8458327/8458328/8458329,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Karawang)"
Mitra Gempol (Klinik Gempol Group),Jl. Raya Proklamasi No. 89 Ds. Kalangsari Rengasdengklok,0267-483749,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Proklamasi No. 89 Ds. Kalangsari Rengasdengklok"
Mitra Hermine,"Jl Komplek Ruko GMP Blok G No 13 A & 14 Tj Piayu, Sei Beduk< Kota Batam, Kep. Riau, 29433.",0778-7379180,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | 29433."
Mitra Husada,Jl. A. Yani No. 14 Pringsewu Lampung 35373,0729-23792,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. A. Yani No. 14 Pringsewu Lampung 35373"
Mitra Kasih,"Jl. Raya Cibabat No.341, Cimahi - Bandung",022-6654852/6652774/6654397,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cimahi - Bandung"
Mitra Keluarga Bekasi Barat,"Jl. Jend. A.Yani, Bekasi Barat",021-8853333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi Barat"
Mitra Keluarga Bekasi Timur,"Jl. Pengasinan Rawa Semut Margahayu, Bekasi Timur",021-8817777/89999222,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi Timur"
Mitra Keluarga Bintaro,"Jl. Bintaro Raya Utama Sektor 3A Tangerang Selatan, Banten 15225",021-27659777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banten 15225"
Mitra Keluarga Cibubur,"Jl. Alternatif Transyogi, Cibubur",021-84311771,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cibubur"
Mitra Keluarga Cikarang,"Jl. Industri Raya No. 100, Lemah Abang",021-89840500/89840900,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Lemah Abang"
Mitra Keluarga Deltamas,"Jl.Deltamas Boulevard,Sukamahi, Cikarang Pusat Bekasi Jawa Barat",021-89978888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cikarang Pusat Bekasi Jawa Barat"
Mitra Keluarga Depok,"JL. Margonda Raya, Pancoras Mas-Depok",021-77210700,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pancoras Mas-Depok"
Mitra Keluarga Gading Serpong,"Jl. Raya Legok Karawaci No.20 Kel. Medang, Tangerang Banten",021-55689111,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang Banten"
Mitra Keluarga Grand Wisata,Jl Boulevard Grand Wisata Lambang Sari Kecamatan Tambun Selatan Kabupaten Bekasi Jawa Barat,021-80616909,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl Boulevard Grand Wisata Lambang Sari Kecamatan Tambun Selatan Kabupaten Bekasi Jawa Barat"
Mitra Keluarga Kalideres,"Jl. Peta Selatan No.1 RT.007/011 Kalideres, Jakarta Barat",021-22523700,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Barat"
Mitra Keluarga Kelapa Gading,"Jl. Bukit Gading Raya Kav. 2 Kelapa Gading Permai, Jakarta Utara",021-45852700,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Utara"
Mitra Keluarga Kenjeran,Jl. Kenjeran 506 Surabaya 60114,031-99000880,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kenjeran 506 Surabaya 60114"
Mitra Keluarga Pamulang,"Jl. Moch Toha RT.002 /017 Pamulang Timur, Tangerang Selatan",(021) 74792223,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang Selatan"
Mitra Keluarga Pondok Tjandra,Jl. Raya Taman Asri Kav.Dd No.18 Waru Sidoarjo Jawa Timur,031-99691000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Taman Asri Kav.Dd No.18 Waru Sidoarjo Jawa Timur"
Mitra Keluarga Pratama Jati Asih,Jl. Raya Jatimekar Rt.01/12 Jatimekar Kec. Jatiasih Bekasi Jawa Barat,021-85511000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Jatimekar Rt.01/12 Jatimekar Kec. Jatiasih Bekasi Jawa Barat"
Mitra Keluarga Slawi,"JL. JENDERAL AHMAD YANI NO.25 RT 05/ RW 01 PROCOT, SLAWI, KAB TEGAL, JAWA TENGAH",(0283) 4565 777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | JAWA TENGAH"
Mitra Keluarga Surabaya,"Jl. Satelit Indah Ii, Darmo Satelit",031-7345333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Darmo Satelit"
Mitra Keluarga Tegal,"Jl. Sipelem, No.4, Kemandungan, Tegal Barat",0283-340399,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tegal Barat"
Mitra Keluarga Waru,"Jl. Raya Letjen. S.Parman, No.8",031-8543111/8542111,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.8"
Mitra Kemayoran,"JL. Landas Pacu Timur, Kemayoran",021-6545555/888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kemayoran"
Mitra Medicare Cimahi,Komp Taman Mutiara Blok B1 No.8 Rt01/016 Kel.Karangmekar,085230346205,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Komp Taman Mutiara Blok B1 No.8 Rt01/016 Kel.Karangmekar"
Mitra Medicare Driyorejo,Jl. Driyorejo Km.23 Kec Driyorejo,087854057209,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Driyorejo Km.23 Kec Driyorejo"
Mitra Medicare Gresik Manyar,"Jl. Raya Sukomulyo Km.24 Desa Sukomulyo, Manyar",087854057209,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Manyar"
Mitra Medicare Gresik Suci,"Jl. K.H Syafii No.100 Desa Suci, Manyar",087854057209,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Manyar"
Mitra Medicare Jatiuwung,"Komp. Ruko Sastra Blok A-20, Jl.Gatot Subroto Km.5 Kec.Jatiuwung",081333026864,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Gatot Subroto Km.5 Kec.Jatiuwung"
Mitra Medicare Pasar Kemis,Jl. Raya Otonom Pasar Kemis-Cikupa Ruko No.7 Rt 08/02Kec Sindang Jaya,081333026864,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Otonom Pasar Kemis-Cikupa Ruko No.7 Rt 08/02Kec Sindang Jaya"
Mitra Medicare Rancaekek Bandung,Jl. Raya Bandung Garut Kamp.Warung Cina No.318 Desa Linggar Rancaekek,08562271145,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Bandung Garut Kamp.Warung Cina No.318 Desa Linggar Rancaekek"
Mitra Medicare Semarang,"Jl. Soekarno Hatta No.9 G Kel.Karangjati, Kec.Bergas, Ungaran",085230346304,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Ungaran"
Mitra Medicare Surabaya,Jl. Dharmahusada Utara 36-38 Blok G-J Surabaya,081333026820,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Dharmahusada Utara 36-38 Blok G-J Surabaya"
Mitra Medika,"Jl. Desa Jatiwangi-Cikedokan/Sebelah Selatan Kawasan Mm 2100 Kp Kamurang Rt 1/1 Cikedokan, Cikarang Barat",021- 89983575/71691709/98213879,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cikarang Barat"
Mitra Medika - Bandar Klippa,"Jl. Medan-Batang Kuis Dusun Xi Emplasmen Desa Bandar Klippa, Percut Sei Tuan Deli Serdang, Sumatera Utara",061-73381822,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sumatera Utara"
Mitra Medika Abadi (D/h. Mitra Abadi),"Jl. Kapten Hanafiah No.3 RT.98 RW. 27 Kel. Karanganyar, Subang, Jawa Barat",0260-418247,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Mitra Medika Amplas,"Jl. Sisingamangaraja No.11 Kel.Harjosari 1, Kec.Medan Amplas Medan Sumatera Utara",061-7879080,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec.Medan Amplas Medan Sumatera Utara"
Mitra Medika Medan Tanjung Mulia,"JL. K. L. Yos Sudarso KM. 7,5 Tanjung Mulia Medan – Sumatera Utara",061-6640999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | 5 Tanjung Mulia Medan – Sumatera Utara"
Mitra Medika Pontianak,"Jl. Sultan Abdurrahman No. 25 Pontianak, Kalimantan Barat",0561-584888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kalimantan Barat"
Mitra Medika Premiere,"JL. S Parman No.236 Petisah Tengah Kec. Medan Petisah, Sumatera Utara",061-4502021,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sumatera Utara"
Mitra Medika Tipar,"Jl. Tipar Cakung No.37 Sukapura, Cilincing Jakarta Utara",021-4415892,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cilincing Jakarta Utara"
Mitra Plumbon,"Jl. Raya Plumbon, Km.11",0231-323100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Km.11"
Mitra Sehat (Klinik Gempol Group),Jl. Kosambi Curug No. 28 Klari,0267-433930,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kosambi Curug No. 28 Klari"
Mitra Sehat Medika,Jl. By Pass No.6 Pandaan,0343-636064,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. By Pass No.6 Pandaan"
Mitra Sejati Medan,JL. AH.Nasution Pangkalan Mahsyur No.7 Medan,061-7875967/ 7881682,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | JL. AH.Nasution Pangkalan Mahsyur No.7 Medan"
Mitrasana Bumyagara,"Taman Bumyagara A.04 Kel. Mustika Jaya, Bekasi",085100464921,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi"
Mitrasana Green Pramuka City,"Apartemen Green Pramuka City, Tower Orchid Lt P1, Jl. A.Yani Kav.49, Rawasari, Cempaka Putih Jakarta Pusat",021-21475359,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cempaka Putih Jakarta Pusat"
Mitrasana Kaliabang,"Ruko Fitra Jaya, Jl.Kaliabang RT.01 RW.06 No.7 Kel.Perwira Kec.Bekasi Utara",021-88974206,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Kaliabang RT.01 RW.06 No.7 Kel.Perwira Kec.Bekasi Utara"
Mitrasana Kelapa Gading,"Jl. Boulevard Timur Raya Blok NB I No.36 Kel.Pegangsaan Dua,Kelapa Gading, Jakarta Utara",021-4513166,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Utara"
Mitrasana Mega Regency 2,Perum Mega Regency Blok A09 Desa sukasari Kec. Serang Baru Kab. Bekasi 17330,082316989509,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Perum Mega Regency Blok A09 Desa sukasari Kec. Serang Baru Kab. Bekasi 17330"
Mitrasana Muchtar Tabrani,"Jl. KH. Muchtar Tabrani RT.03 RW.03 Kel.Perwira, Kec.Bekasi Utara, Kota Bekasi",085100629058,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kota Bekasi"
Mitrasana Pondok Timur,"Pondok Timur Indah Blok G No.1 Pondok Timur, Kel.Jatimulya Kec.Tambun Selatan, Bekasi",085100822510,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi"
Mitrasana Taman Aster,Ruko Taman Aster Kav.A.3 No.41 telaga Asih Cikarang Barat,021-88333364,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Ruko Taman Aster Kav.A.3 No.41 telaga Asih Cikarang Barat"
Mitrasana Taman Harapan Baru,"Jl.Taman Harapan Baru Blok E7 No.9 Pejuang, Medan Satria, Bekasi Barat",085100418827,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi Barat"
Mitrasana Wibawa Mukti,"Jl. Wibawa Mukti RT.001/11 Kp.Pedurenan, Jatiasih Bekasi",021-36487743,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jatiasih Bekasi"
Modern Medika Kragilan,Jl. Raya Serang Km15 Ruko D9 Kragilan,0254-281720,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Serang Km15 Ruko D9 Kragilan"
MP Dental Center,"Hotel Intercontinental Lg Floor R27-28, Jl. Jend Sudirman Kav.10-11, Kel. Karet Tengsin, Kec. Tanah Abang Jakarta Pusat",021-5735336,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec. Tanah Abang Jakarta Pusat"
Mrccc-Siloam Hospitals Semanggi,"Jl. Garnisun 2-3 Karet, Semanggi Setiabudi (Belakang Univ. Atmajaya ) Jak- Sel",021-29962888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Semanggi Setiabudi (Belakang Univ. Atmajaya ) Jak- Sel"
Muhammadiyah Ahmad Dahlan Kediri,Jl. Gatot Subroto No 84 Kediri,0354-773115/776182/770182,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Gatot Subroto No 84 Kediri"
Muhammadiyah Bandung,Jl. Kh. Ahmad Dahlan No.53 Bandung,022-7301062/7312167/7323549,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kh. Ahmad Dahlan No.53 Bandung"
Muhammadiyah Cepu,"Jl. Rongolawe, No.137",0296-421727,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.137"
Muhammadiyah Palangkaraya,"Jl. RTA. Milono Km.2,5 Palangkaraya",0536-3239444 / 3244801,"AXA Mandiri Financial Services, Corporate Solution | 5 Palangkaraya"
Muhammadiyah Siti Aminah,"Jl. Diponegoro, Bumiayu",0289-432209/430683,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bumiayu"
Muhammadiyah Siti Khodijah Kediri,"Jl. Dr. Soetomo 322 Sukorejo, Kec.Gurah, Kab. Kediri, Jawa Timur",0354-545481 / 546593,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Timur"
Muhammadiyah Taman Puring,Jl. Gandaria I No.20 Kebayoran Baru,021-7229623/7250243/7208358,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Gandaria I No.20 Kebayoran Baru"
Muhaya,"Jl. Jend Sudirman No. 18, Taman Bunga, Gerunggang, Pangkal Pinang Kep Bangka Belitung",0717-436997,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pangkal Pinang Kep Bangka Belitung"
Mujaisyah,"Jl. Dr.Ratulangi.Km.5 Balandai, Bara, Temmalebba Palopo Sulawesi Selatan",0471-3311727,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Temmalebba Palopo Sulawesi Selatan"
Mulia Health dental care,"Gedung Menara Mulia, Suite LG,Jl. Jend Gatot Subroto Kav 9-11 Jakarta Selatan",021-5223838,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend Gatot Subroto Kav 9-11 Jakarta Selatan"
Mulia Health Dental Care Bulog II,"Gd.Bulog II,Jl.Kuningan Timur Blok M2/5 Jakarta Selatan",021-5210284,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Kuningan Timur Blok M2/5 Jakarta Selatan"
Mulia Health Dental Care Kalibata City,"Kalibata City Square,Ground C-05,Jl.TMP Kalibata No.1 Jakarta Selatan",021-79160026,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.TMP Kalibata No.1 Jakarta Selatan"
Mulia Insani,Jl. Raya Serang Km 16.8 Cikupa Tangerang,021-5962790/5962998/5962996,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Serang Km 16.8 Cikupa Tangerang"
Mulia Medika,"Jl. Raya Kaliabang Tengah No.1A, Bekasi Utara, Bekasi, Jawa Barat",021-88987741,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Mulia Pajajaran,Jl. Raya Pajajaran No. 98 Bogor,0251-8379898,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Pajajaran No. 98 Bogor"
Multazam Medika,"Jl. Raya Perum Jatimulya, Pengkalan Koasi, K-19, Tambun",021-8215101/8215102,"AXA Mandiri Financial Services, Individu Solution | Tambun"
Mulya,Jl. Kh.Hasyim Ashari No.18 Sudimara Pinang,021-7322443,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kh.Hasyim Ashari No.18 Sudimara Pinang"
Mulya Medika II,Jl. Perumahan Grama Puri Blok D1 No.5 Cibitung,021-88362481,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Perumahan Grama Puri Blok D1 No.5 Cibitung"
Mulyasari,Jl. Raya Plumpang Semper No. 19 Jakarta Utara,021-43931111/43936666/43938888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Plumpang Semper No. 19 Jakarta Utara"
Murni Asih,"JL.Raya Bojongnangka No 86, Medang, Pagedangan Tangerang",021-5470263/54200982/5463672,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pagedangan Tangerang"
Murni Teguh Ciledug (d/h. RS Aminah),Jl. Hos Cokroaminoto (Ciledug Raya) No.4A Kreo Selatan-Larangan,021-7371919/7371818,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Hos Cokroaminoto (Ciledug Raya) No.4A Kreo Selatan-Larangan"
Murni Teguh Clinic,"Pacific Place Mall Shop Unit B1-01B, Jl. Jendral Sudirman Kav.52-53 Jakarta Selatan",021-57973497/ 57853911,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jendral Sudirman Kav.52-53 Jakarta Selatan"
